Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
01/16/2025,NISS,4D,,SIL,DQ75765,IL,701 N. Sacramento,(773) 265-7605,7111862
12/07/2024,CHEV,4D,,GRY,02873RF,MI,10300 S. Doty,(773) 568-8495,2978699
12/12/2024,NISS,LL,,WHI,DD17520,IL,701 N. Sacramento,(773) 265-7605,7108355
12/10/2024,CHEV,4D,,GLD,797524,IL,10300 S. Doty,(773) 568-8495,2978961
01/04/2025,HOND,4D,,RED,EV40234,IL,701 N. Sacramento,(773) 265-7605,2980540
12/24/2024,DODG,4D,,BLU,EZ17640,IL,701 N. Sacramento,(773) 265-7605,7109863
12/19/2024,CHEV,4D,,BLU,CJ23284,IL,10300 S. Doty,(773) 568-8495,2979546
01/02/2025,VOLK,4D,,BLK,EV84825,IL,10300 S. Doty,(773) 568-8495,2980451
01/14/2025,FORD,PK,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7111754
12/22/2024,CHEV,2D,,WHI,DA65320,IL,10300 S. Doty,(773) 568-8495,2979711
12/12/2024,LEXS,LL,,TAN,,IL,701 N. Sacramento,(773) 265-7605,7108290
12/12/2024,BUIC,4D,,BLK,EB57996,IL,701 N. Sacramento,(773) 265-7605,7108289
01/16/2025,NISS,PK,TK,BLK,3227212B,IL,701 N. Sacramento,(773) 265-7605,7111861
12/10/2024,HYUN,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2978957
12/18/2024,DODG,SW,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7109142
12/12/2024,FORD,LL,,BLK,DU60949,IL,701 N. Sacramento,(773) 265-7605,7108356
12/24/2024,HOND,4D,,GRY,,MI,701 N. Sacramento,(773) 265-7605,7109829
12/18/2024,FORD,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2979422
01/10/2025,BUIC,2D,,WHI,EK90591,IL,10300 S. Doty,(773) 568-8495,2980899
01/03/2025,TOYT,4D,,WHI,BZ32JR,FL,701 N. Sacramento,(773) 265-7605,7110636
12/19/2024,CHEV,4D,,SIL,006902A8,IL,701 N. Sacramento,(773) 265-7605,7109262
01/12/2025,CADI,LL,,BLK,R546102,IL,10300 S. Doty,(773) 568-8495,2981072
01/04/2025,HYUN,4T,,GRY,CU64011,IL,10300 S. Doty,(773) 568-8495,2980543
12/07/2024,CHEV,4D,,SIL,EV38671,IL,701 N. Sacramento,(773) 265-7605,7107614
12/19/2024,CHEV,4D,,SIL,DV12282,IL,701 N. Sacramento,(773) 265-7605,7109265
01/12/2025,HYUN,LL,,SIL,DV13437,IL,10300 S. Doty,(773) 568-8495,2981071
12/07/2024,FORD,LL,,BLK,CR39875,IL,701 N. Sacramento,(773) 265-7605,7107622
12/12/2024,TOYT,LL,,MAR,EK77707,IL,701 N. Sacramento,(773) 265-7605,7108351
12/12/2024,CHEV,LL,,GRY,ER77172,IL,400 E. Lower Wacker,(312) 744-7550,0332006
01/02/2025,CHEV,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2980456
01/02/2025,CHEV,4D,,BLK,ET86634,IL,10300 S. Doty,(773) 568-8495,2980458
01/04/2025,BMW,4D,,WHI,D430947,IL,10300 S. Doty,(773) 568-8495,2980550
01/03/2025,AUDI,4T,,BLU,DG90056,IL,701 N. Sacramento,(773) 265-7605,7110637
01/04/2025,GMC,LL,,WHI,LON878,KY,400 E. Lower Wacker,(312) 744-7550,0333532
01/08/2025,FORD,PK,TK,BLK,,,701 N. Sacramento,(773) 265-7605,7111151
12/22/2024,GMC,LL,,GRY,EL16782,IL,701 N. Sacramento,(773) 265-7605,7109618
01/16/2025,HOND,4D,,GRY,EY60696,IL,701 N. Sacramento,(773) 265-7605,7111865
12/12/2024,HYUN,4D,,TAN,GD9020,IL,10300 S. Doty,(773) 568-8495,2979024
01/02/2025,JEEP,LL,,BLK,AG46731,IL,10300 S. Doty,(773) 568-8495,2980459
12/22/2024,AUDI,LL,,BLK,BG57895,IL,701 N. Sacramento,(773) 265-7605,7109686
12/22/2024,TOYT,4D,,WHI,DQ88156,IL,701 N. Sacramento,(773) 265-7605,7109687
12/22/2024,SUBA,SW,,SIL,DY24912,IL,701 N. Sacramento,(773) 265-7605,7109685
01/12/2025,FORD,4D,,WHI,3HS684,OK,10300 S. Doty,(773) 568-8495,2981077
12/07/2024,MERZ,LL,,BLK,2661472,IL,10300 S. Doty,(773) 568-8495,2978701
12/22/2024,HOND,LL,,SIL,BN33234,IL,701 N. Sacramento,(773) 265-7605,7109689
12/22/2024,CHEV,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7109623
01/02/2025,ACUR,4T,,GRY,,IL,10300 S. Doty,(773) 568-8495,2980457
12/09/2024,NISS,4D,,GRY,S852033,IN,701 N. Sacramento,(773) 265-7605,7107982
01/12/2025,HYUN,4D,,GRN,,,701 N. Sacramento,(773) 265-7605,7111623
01/12/2025,HYUN,LL,,GRY,BW86829,IL,701 N. Sacramento,(773) 265-7605,7111624
01/12/2025,CHEV,4D,,WHI,3063045B,IL,10300 S. Doty,(773) 568-8495,2981078
12/19/2024,JEEP,LL,,GRY,5833BH,IL,10300 S. Doty,(773) 568-8495,2979547
12/19/2024,AUDI,4D,,WHI,EB99139,IL,701 N. Sacramento,(773) 265-7605,7109268
12/19/2024,CHEV,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2979548
12/22/2024,TOYT,4D,,BLK,DX84184,IL,701 N. Sacramento,(773) 265-7605,7109714
12/16/2024,,,,,,IL,10300 S. Doty,(773) 785-9752,17
12/19/2024,PONT,4D,,RED,985AB707,IL,10300 S. Doty,(773) 568-8495,2979549
01/06/2025,LAND,LL,,BLK,,,701 N. Sacramento,(773) 265-7605,7111054
01/04/2025,KIA,4D,,GRY,DB64112,IL,10300 S. Doty,(773) 568-8495,2980552
12/22/2024,CHEV,4D,,SIL,EM73251,IL,701 N. Sacramento,(773) 265-7605,7109710
01/08/2025,MAZD,4D,,BLK,ER91092,IL,10300 S. Doty,(773) 568-8495,2980792
01/18/2025,CHEV,LL,,TAN,,IL,10300 S. Doty,(773) 568-8495,2981391
01/03/2025,FORD,LL,,WHI,R839223,IL,701 N. Sacramento,(773) 265-7605,7110638
01/08/2025,CHEV,4D,,BLK,CR38325,IL,10300 S. Doty,(773) 568-8495,2980790
12/22/2024,NISS,4D,,BLK,TDC650,IN,701 N. Sacramento,(773) 265-7605,7109712
01/03/2025,VOLV,4D,,BLK,N860053,IL,701 N. Sacramento,(773) 265-7605,7110639
12/22/2024,HOND,4D,,BLU,K630748,IL,701 N. Sacramento,(773) 265-7605,7109706
12/18/2024,INFI,4D,,SIL,EC57960,IL,10300 S. Doty,(773) 568-8495,2979426
12/18/2024,MERC,4D,,WHI,FNF898,IA,10300 S. Doty,(773) 568-8495,2979425
01/10/2025,FORD,LL,,BLK,DY45050,IL,10300 S. Doty,(773) 568-8495,2980902
12/18/2024,NISS,4D,,GRY,CK54850,IL,701 N. Sacramento,(773) 265-1846,1548620
12/18/2024,LINC,4D,,SIL,ABN316,KY,701 N. Sacramento,(773) 265-1846,1548621
12/22/2024,HOND,4D,,BLK,DT54014,IL,701 N. Sacramento,(773) 265-7605,7109716
01/03/2025,PONT,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7110553
12/22/2024,FORD,PK,,BLU,2843804B,IL,701 N. Sacramento,(773) 265-7605,7109699
12/08/2024,TOYT,4D,,WHI,DQ21722,IL,10300 S. Doty,(773) 568-8495,2978837
12/09/2024,FORD,LL,,GRY,DU74215,IL,701 N. Sacramento,(773) 265-7605,7108048
12/22/2024,SUBA,SW,,GRY,EU64950,IL,701 N. Sacramento,(773) 265-7605,7109711
12/12/2024,HYUN,4D,,WHI,EA23649,IL,701 N. Sacramento,(773) 265-7605,7108291
01/13/2025,BUIC,4T,,BLK,DH45005,IL,701 N. Sacramento,(773) 265-7605,7111629
12/09/2024,JEEP,LL,,GRY,,IL,10300 S. Doty,(773) 568-8495,2978854
12/22/2024,FORD,PK,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109709
12/09/2024,BMW,4D,,SIL,EN53124,IL,701 N. Sacramento,(773) 265-7605,7107987
12/22/2024,KIA,4D,,BLU,EK59645,IL,701 N. Sacramento,(773) 265-7605,7109691
12/22/2024,TOYT,4D,,GRN,EQ19607,IL,701 N. Sacramento,(773) 265-7605,7109697
01/03/2025,CADI,4D,,WHI,EY65017,IL,701 N. Sacramento,(773) 265-7605,7110510
01/04/2025,FORD,4T,,GRY,EX92108,IL,701 N. Sacramento,(773) 265-7605,7110644
12/12/2024,FORD,PK,,WHI,3869087B,IL,10300 S. Doty,(773) 568-8495,2979028
12/22/2024,FORD,LL,,BLU,EU54686,IL,701 N. Sacramento,(773) 265-7605,7109705
01/18/2025,GMC,VN,,TAN,,,10300 S. Doty,(773) 568-8495,2981394
01/04/2025,TOYT,LL,,GRY,AVB4463,WI,701 N. Sacramento,(773) 265-7605,7110656
12/15/2024,NISS,LL,,GRY,EY61625,IL,10300 S. Doty,(773) 568-8495,2979217
01/04/2025,HOND,2T,,WHI,AD84248,IL,701 N. Sacramento,(773) 265-7605,7110649
12/22/2024,HYUN,4D,,BLK,AC8575,IL,701 N. Sacramento,(773) 265-7605,7109707
12/09/2024,BUIC,LL,,WHI,Z213301,IL,10300 S. Doty,(773) 568-8495,2978855
01/04/2025,CHRY,4T,,WHI,EJ25033,IL,701 N. Sacramento,(773) 265-7605,7110642
01/08/2025,CHEV,4D,,GRY,ER55296,IL,10300 S. Doty,(773) 568-8495,2980794
01/04/2025,CHEV,4T,,GRY,DD53607,IL,701 N. Sacramento,(773) 265-7605,7110657
01/04/2025,TOYT,LL,,BLU,AV17234,IL,701 N. Sacramento,(773) 265-7605,7110645
01/04/2025,MERC,4T,,WHI,EA13355,IL,701 N. Sacramento,(773) 265-7605,7110646
12/12/2024,BUIC,LL,,WHI,EQ88319,IL,701 N. Sacramento,(773) 265-7605,7108297
12/12/2024,BMW,4D,,GRY,ET77041,IL,701 N. Sacramento,(773) 265-7605,7108298
01/08/2025,DODG,CP,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7111155
12/11/2024,INFI,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7108077
12/20/2024,JEEP,LL,,BLK,DM32137,IL,10300 S. Doty,(773) 568-8495,2979563
12/22/2024,HOND,4D,,GRY,CV48479,IL,701 N. Sacramento,(773) 265-7605,7109704
12/25/2024,MAZD,LL,,GRY,232,IL,400 E. Lower Wacker,(312) 744-7550,32
12/31/2024,FORD,4D,,WHI,ET90869,IL,701 N. Sacramento,(773) 265-7605,7110444
12/12/2024,MERZ,4D,,BLK,DA96440,IL,701 N. Sacramento,(773) 265-7605,7108295
01/08/2025,FORD,LL,TK,BLK,7439GI,IL,701 N. Sacramento,(773) 265-7605,7111156
12/31/2024,NISS,4D,,BLK,FA73140,IL,10300 S. Doty,(773) 568-8495,2980353
01/03/2025,FORD,4D,,GRY,EL39538,IL,10300 S. Doty,(773) 568-8495,2980466
12/22/2024,TOYT,4D,,WHI,CB82144,IL,701 N. Sacramento,(773) 265-7605,7109703
01/04/2025,VOLK,4T,,BLU,EF74125,IL,701 N. Sacramento,(773) 265-7605,7110653
12/22/2024,KIA,SW,,GRY,20987AFT,WI,701 N. Sacramento,(773) 265-7605,7109717
01/06/2025,HYUN,4D,,MAR,AFW8561,WI,400 E. Lower Wacker,(312) 744-7550,0333705
01/13/2025,TOYT,LL,,BLK,EV95807,IL,10300 S. Doty,(773) 568-8495,2981090
01/04/2025,TOYT,LL,,BLK,Z66LZY,NJ,701 N. Sacramento,(773) 265-7605,7110662
01/04/2025,TESI,LL,,GRY,295AC044,IL,701 N. Sacramento,(773) 265-7605,7110658
01/05/2025,,MC,,BLK,,,10300 S. Doty,(773) 568-8495,2980590
12/11/2024,TOYT,4T,,WHI,DC52542,IL,701 N. Sacramento,(773) 265-7605,7108166
01/03/2025,TOYT,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2980465
01/13/2025,FORD,4T,,MAR,EL54729,IL,701 N. Sacramento,(773) 265-7605,7111630
01/03/2025,LEXS,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2980468
01/13/2025,FORD,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7111635
01/03/2025,FORD,VN,,WHI,CR64694,IL,10300 S. Doty,(773) 568-8495,2980467
12/08/2024,MAZD,4D,,BLK,EV28321,IL,701 N. Sacramento,(773) 265-7605,7107851
01/14/2025,NISS,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2981175
12/22/2024,MAZD,4D,,BLK,BZ92129,IL,701 N. Sacramento,(773) 265-7605,7109723
01/04/2025,NISS,LL,,WHI,BM58449,IL,701 N. Sacramento,(773) 265-7605,7110659
01/10/2025,CHRY,VN,,GRY,,IL,10300 S. Doty,(773) 568-8495,2980924
12/20/2024,BUIC,4D,,LGR,,IL,10300 S. Doty,(773) 568-8495,2979561
12/12/2024,CHEV,LL,,BLK,DN31863,IL,701 N. Sacramento,(773) 265-7605,7108300
01/03/2025,AUDI,2D,,BLU,EY16772,IL,701 N. Sacramento,(773) 265-7605,7110572
12/20/2024,HYUN,4D,,GRY,DR48591,IL,10300 S. Doty,(773) 568-8495,2979560
12/20/2024,FORD,LL,,TAN,CZ18487,IL,10300 S. Doty,(773) 568-8495,2979565
01/05/2025,FORD,4D,,RED,DZ33815,IL,10300 S. Doty,(773) 568-8495,2980642
12/22/2024,HOND,LL,,GRY,Q271691,IL,701 N. Sacramento,(773) 265-7605,7109673
12/22/2024,TOYT,4D,,GRY,EV35668,IL,701 N. Sacramento,(773) 265-7605,7109726
12/11/2024,TOYT,4T,,SIL,CS91197,IL,701 N. Sacramento,(773) 265-7605,7108158
12/22/2024,CHRY,4D,,BLK,BN52262,IL,701 N. Sacramento,(773) 265-7605,7109722
12/11/2024,VOLK,4T,,RED,CY79767,IL,701 N. Sacramento,(773) 265-7605,7108164
12/12/2024,VOLK,4D,,RED,EY19693,IL,701 N. Sacramento,(773) 265-7605,7108302
12/12/2024,JEEP,LL,,RED,EA30192,IL,10300 S. Doty,(773) 568-8495,2979031
12/11/2024,NISS,4D,,WHI,ER55518,IL,10300 S. Doty,(773) 568-8495,2978964
12/11/2024,BUIC,LL,TK,WHI,EG65123,IL,10300 S. Doty,(773) 568-8495,2978965
12/22/2024,JEEP,LL,,RED,EU16954,IL,701 N. Sacramento,(773) 265-7605,7109720
12/11/2024,JEEP,LL,TK,WHI,EV20070,IL,701 N. Sacramento,(773) 265-7605,7108170
12/22/2024,DODG,LL,,WHI,DK23978,IL,10300 S. Doty,(773) 568-8495,2979713
01/16/2025,HOND,VN,,GRY,EA21297,IL,400 E. Lower Wacker,(312) 744-7550,0334269
12/20/2024,LINC,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109270
12/07/2024,CHEV,4D,,RED,Q630787,IL,701 N. Sacramento,(773) 265-7605,7107696
12/11/2024,SATR,LL,,GLD,011445A8,IL,701 N. Sacramento,(773) 265-7605,7108160
12/12/2024,HOND,LL,,GRY,EG45660,IL,701 N. Sacramento,(773) 265-7605,7108303
12/11/2024,INFI,4D,,SIL,SAB731,IL,10300 S. Doty,(773) 568-8495,2978962
01/04/2025,HOND,4T,,TAN,AM73000,IL,701 N. Sacramento,(773) 265-7605,7110650
12/22/2024,HYUN,4D,,ONG,EZ73252,IL,701 N. Sacramento,(773) 265-7605,7109724
01/03/2025,CADI,4D,,GRY,1E323FF,IL,701 N. Sacramento,(773) 265-7605,7110655
12/22/2024,CHEV,4D,,GRY,DBF401,IN,701 N. Sacramento,(773) 265-7605,7109718
12/22/2024,JEEP,LL,,WHI,ED82486,IL,701 N. Sacramento,(773) 265-7605,7109719
12/22/2024,CHEV,4D,,GRN,EW73287,IL,701 N. Sacramento,(773) 265-7605,7109721
12/29/2024,MAZD,LL,,RED,DE28508,IL,10300 S. Doty,(773) 568-8495,2980160
01/04/2025,TOYT,4T,,BLK,CF74159,IL,701 N. Sacramento,(773) 265-7605,7110647
01/04/2025,HYUN,4T,,WHI,066PAZ,OR,701 N. Sacramento,(773) 265-7605,7110664
12/12/2024,LNDR,LL,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7108359
12/25/2024,MAZD,LL,,WHI,4942BU,IL,400 E. Lower Wacker,(312) 744-7550,0332865
01/10/2025,NISS,4D,,BLU,NVL274,OK,400 E. Lower Wacker,(312) 744-7550,0333935
01/10/2025,JEEP,LL,,WHI,X8612F,WI,701 N. Sacramento,(773) 265-1846,1548705
12/08/2024,BUIC,LL,,BLK,8566P98,TX,10300 S. Doty,(773) 568-8495,2978826
01/10/2025,CHEV,4D,,BLU,KBN3845,OH,701 N. Sacramento,(773) 265-7605,7111239
12/20/2024,HOND,4D,,DBL,EQ18425,IL,10300 S. Doty,(773) 568-8495,2979567
01/03/2025,JEEP,LL,TK,RED,ES33859,IL,10300 S. Doty,(773) 568-8495,2980514
01/04/2025,VOLK,4T,,WHI,DN42280,IL,701 N. Sacramento,(773) 265-7605,7110660
01/13/2025,HOND,4D,,RED,,IL,701 N. Sacramento,(773) 265-7605,7111637
12/07/2024,HOND,4D,,SIL,EQ59957,IL,701 N. Sacramento,(773) 265-7605,7107627
01/13/2025,TOYT,4T,,RED,FP257042,IL,10300 S. Doty,(773) 568-8495,2981106
12/25/2024,FORD,4D,,WHI,FB73275,IL,701 N. Sacramento,(773) 265-7605,7109868
01/13/2025,PONT,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2981097
12/08/2024,CHEV,LL,,BLK,CB16921,IL,10300 S. Doty,(773) 568-8495,2978767
12/22/2024,FORD,LL,,BLU,DY56614,IL,701 N. Sacramento,(773) 265-7605,7109715
12/18/2024,GMC,LL,,GRN,DR58127,IL,10300 S. Doty,(773) 568-8495,2979452
12/22/2024,FORD,2D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7109627
01/13/2025,TOYT,LL,TK,BLK,8606273,IL,10300 S. Doty,(773) 568-8495,2981095
12/12/2024,HOND,LL,,TAN,DF57626,IL,701 N. Sacramento,(773) 265-7605,7108357
12/18/2024,FORD,PK,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7109149
01/04/2025,TOYT,LL,,WHI,54DWVW,FL,701 N. Sacramento,(773) 265-7605,7110654
01/04/2025,MAZD,LL,,SIL,BH50395,IL,701 N. Sacramento,(773) 265-7605,7110661
01/04/2025,NISS,4T,,WHI,BR39659,IL,701 N. Sacramento,(773) 265-7605,7110665
12/25/2024,TOYT,4D,,GRY,EY19950,IL,10300 S. Doty,(773) 568-8495,2979918
12/22/2024,MITS,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109629
12/22/2024,FORD,VN,,BLK,3990878B,IL,701 N. Sacramento,(773) 265-7605,7109633
01/16/2025,DODG,LL,,BLK,EN20924,IL,701 N. Sacramento,(773) 265-1846,1548733
01/10/2025,CHEV,4D,,WHI,EH61095,IL,400 E. Lower Wacker,(312) 744-7550,0333942
12/22/2024,DODG,PK,,BLK,49827GB,IL,701 N. Sacramento,(773) 265-7605,7109731
12/22/2024,SAA,LL,,BLK,EZ17021,IL,701 N. Sacramento,(773) 265-7605,7109625
12/22/2024,BMW,2D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109727
12/12/2024,VOLK,4D,,BLK,EM61070,IL,701 N. Sacramento,(773) 265-7605,7108358
01/15/2025,CHEV,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7111759
01/19/2025,LINC,LL,,TAN,EW54674,IL,10300 S. Doty,(773) 568-8495,2981451
12/22/2024,HYUN,4D,,BLK,DQ43031,IL,701 N. Sacramento,(773) 265-7605,7109730
01/16/2025,DODG,PK,,BLK,3775484B,IL,701 N. Sacramento,(773) 265-7605,7111886
01/04/2025,HOND,LL,,GRY,AD26547,IL,701 N. Sacramento,(773) 265-7605,7110672
12/22/2024,HOND,4D,,BLK,EW86807,IL,701 N. Sacramento,(773) 265-7605,7109630
01/21/2025,CHEV,LL,,BLK,DW69192,IL,701 N. Sacramento,(773) 265-7605,7112422
01/04/2025,SUBA,LL,,WHI,DU39776,IL,701 N. Sacramento,(773) 265-7605,7110667
01/04/2025,FORD,LL,,BLK,CT81052,IL,701 N. Sacramento,(773) 265-7605,7110671
12/22/2024,TOYT,VN,,GRY,1524TX,IL,701 N. Sacramento,(773) 265-7605,7109632
01/06/2025,FORD,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2980672
12/12/2024,SUZI,LL,,BLU,N563418,IL,701 N. Sacramento,(773) 265-1846,1548610
01/04/2025,JEEP,LL,,BLK,AL13323,IL,701 N. Sacramento,(773) 265-7605,7110668
01/06/2025,NISS,4D,,BLU,,,10300 S. Doty,(773) 568-8495,2980673
01/09/2025,HOND,4D,,GLD,,,10300 S. Doty,(773) 568-8495,2980801
12/22/2024,CHEV,4D,,SIL,DLB7477,MI,701 N. Sacramento,(773) 265-7605,7109728
12/25/2024,HYUN,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109869
01/06/2025,FORD,LL,,RED,,,10300 S. Doty,(773) 568-8495,2980671
01/01/2025,FORD,LL,,BLK,ES36395,IL,10300 S. Doty,(773) 568-8495,2980380
01/03/2025,CHRY,2D,,BLK,,,10300 S. Doty,(773) 568-8495,2980491
01/09/2025,JEEP,LL,,BLK,,,10300 S. Doty,(773) 568-8495,2980802
01/18/2025,CHEV,4D,,GRY,,,10300 S. Doty,(773) 568-8495,2981395
01/03/2025,HOND,LL,,BLK,DD75196,IL,10300 S. Doty,(773) 568-8495,2980482
01/04/2025,FORD,PK,,BLK,3202118B,IL,701 N. Sacramento,(773) 265-7605,7110675
12/25/2024,INFI,4D,,BLK,WH2804D,WI,701 N. Sacramento,(773) 265-7605,7109867
01/06/2025,ISU,CB,,WHI,EX9765,WI,10300 S. Doty,(773) 568-8495,2980669
01/04/2025,TOYT,LL,,GRY,CK15909,IL,701 N. Sacramento,(773) 265-7605,7110673
01/04/2025,CHEV,SW,,BLK,FB74225,IL,701 N. Sacramento,(773) 265-7605,7110669
01/18/2025,CHEV,4T,,BLK,CJ14839,IL,701 N. Sacramento,(773) 265-7605,7112129
01/04/2025,KIA,4T,,RED,CZT122,IL,701 N. Sacramento,(773) 265-7605,7110674
12/15/2024,GMC,LL,,DBL,710D970,IN,10300 S. Doty,(773) 568-8495,2979290
01/03/2025,BUIC,4T,,SIL,EU12402,IL,701 N. Sacramento,(773) 265-7605,7110589
01/14/2025,FORD,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7111771
01/04/2025,AUDI,4T,,GRY,RZ18405,GA,701 N. Sacramento,(773) 265-7605,7110666
01/18/2025,HOND,VN,,GRY,EP40717,IL,701 N. Sacramento,(773) 265-7605,7112151
12/22/2024,CHEV,LL,,RED,EA86213,IL,10300 S. Doty,(773) 568-8495,2979737
01/09/2025,DODG,4D,,BLU,BU87452,IL,10300 S. Doty,(773) 568-8495,2980800
12/22/2024,CHEV,4D,,SIL,EK90105,IL,10300 S. Doty,(773) 568-8495,2979776
01/15/2025,CHEV,4D,,BGE,,IL,10300 S. Doty,(773) 568-8495,2981179
01/15/2025,MITS,2T,,SIL,EC97175,IL,701 N. Sacramento,(773) 265-7605,7111774
12/22/2024,NISS,PK,,RED,4003526B,IL,701 N. Sacramento,(773) 265-7605,7109634
01/13/2025,AUDI,2T,,WHI,EB86936,IL,10300 S. Doty,(773) 568-8495,2981107
01/06/2025,CHEV,VN,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7111058
01/13/2025,DODG,VN,,WHI,179AC814,IL,10300 S. Doty,(773) 568-8495,2981112
01/16/2025,NISS,4D,,BLK,AX64519,IL,701 N. Sacramento,(773) 265-7605,7111889
12/25/2024,BUIC,4D,,TAN,,,10300 S. Doty,(773) 568-8495,2979915
12/12/2024,HYUN,4D,,SIL,CPD285,IN,10300 S. Doty,(773) 568-8495,2979050
01/13/2025,ACUR,4T,,BLK,CM87863,IL,10300 S. Doty,(773) 568-8495,2981108
12/11/2024,TOYT,4T,,BLK,EQ25941,IL,701 N. Sacramento,(773) 265-7605,7108194
01/15/2025,NISS,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2981183
12/25/2024,AUDI,LL,,WHI,DM92070,IL,10300 S. Doty,(773) 568-8495,2979922
01/03/2025,CHRY,4D,,SIL,EB90939,IL,10300 S. Doty,(773) 568-8495,2980474
01/03/2025,JEEP,LL,TK,BLU,EP38911,IL,10300 S. Doty,(773) 568-8495,2980475
01/09/2025,SCIO,4D,,WHI,DK89166,IL,10300 S. Doty,(773) 568-8495,2980805
01/04/2025,FORD,VN,,WHI,,,10300 S. Doty,(773) 568-8495,2980515
12/11/2024,HYUN,VN,,SIL,ET86458,IL,701 N. Sacramento,(773) 265-7605,7108200
01/04/2025,DODG,LL,,GRY,DD19831,IL,701 N. Sacramento,(773) 265-7605,7110677
01/04/2025,HOND,LL,,BLU,EV55102,IL,701 N. Sacramento,(773) 265-7605,7110680
01/04/2025,GMC,PK,,MAR,PAL4350,GA,701 N. Sacramento,(773) 265-7605,7110687
