Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number,Weekday
2025-01-04,TOYT,LL,,BLK,Z66LZY,NJ,701 N. Sacramento,(773) 265-7605,7110662,Saturday
2025-01-04,TESI,LL,,GRY,295AC044,IL,701 N. Sacramento,(773) 265-7605,7110658,Saturday
2025-01-05,,MC,,BLK,,,10300 S. Doty,(773) 568-8495,2980590,Sunday
2024-12-11,TOYT,4T,,WHI,DC52542,IL,701 N. Sacramento,(773) 265-7605,7108166,Wednesday
2025-01-03,TOYT,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2980465,Friday
2025-01-13,FORD,4T,,MAR,EL54729,IL,701 N. Sacramento,(773) 265-7605,7111630,Monday
2025-01-03,LEXS,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2980468,Friday
2025-01-13,FORD,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7111635,Monday
2025-01-03,FORD,VN,,WHI,CR64694,IL,10300 S. Doty,(773) 568-8495,2980467,Friday
2024-12-08,MAZD,4D,,BLK,EV28321,IL,701 N. Sacramento,(773) 265-7605,7107851,Sunday
2025-01-14,NISS,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2981175,Tuesday
2024-12-22,MAZD,4D,,BLK,BZ92129,IL,701 N. Sacramento,(773) 265-7605,7109723,Sunday
2025-01-04,NISS,LL,,WHI,BM58449,IL,701 N. Sacramento,(773) 265-7605,7110659,Saturday
2025-01-10,CHRY,VN,,GRY,,IL,10300 S. Doty,(773) 568-8495,2980924,Friday
2024-12-20,BUIC,4D,,LGR,,IL,10300 S. Doty,(773) 568-8495,2979561,Friday
2024-12-12,CHEV,LL,,BLK,DN31863,IL,701 N. Sacramento,(773) 265-7605,7108300,Thursday
2025-01-03,AUDI,2D,,BLU,EY16772,IL,701 N. Sacramento,(773) 265-7605,7110572,Friday
2024-12-20,HYUN,4D,,GRY,DR48591,IL,10300 S. Doty,(773) 568-8495,2979560,Friday
2024-12-20,FORD,LL,,TAN,CZ18487,IL,10300 S. Doty,(773) 568-8495,2979565,Friday
2025-01-05,FORD,4D,,RED,DZ33815,IL,10300 S. Doty,(773) 568-8495,2980642,Sunday
2024-12-22,HOND,LL,,GRY,Q271691,IL,701 N. Sacramento,(773) 265-7605,7109673,Sunday
2024-12-22,TOYT,4D,,GRY,EV35668,IL,701 N. Sacramento,(773) 265-7605,7109726,Sunday
2024-12-11,TOYT,4T,,SIL,CS91197,IL,701 N. Sacramento,(773) 265-7605,7108158,Wednesday
2024-12-22,CHRY,4D,,BLK,BN52262,IL,701 N. Sacramento,(773) 265-7605,7109722,Sunday
2024-12-11,VOLK,4T,,RED,CY79767,IL,701 N. Sacramento,(773) 265-7605,7108164,Wednesday
2024-12-12,VOLK,4D,,RED,EY19693,IL,701 N. Sacramento,(773) 265-7605,7108302,Thursday
2024-12-12,JEEP,LL,,RED,EA30192,IL,10300 S. Doty,(773) 568-8495,2979031,Thursday
2024-12-11,NISS,4D,,WHI,ER55518,IL,10300 S. Doty,(773) 568-8495,2978964,Wednesday
2024-12-11,BUIC,LL,TK,WHI,EG65123,IL,10300 S. Doty,(773) 568-8495,2978965,Wednesday
2024-12-22,JEEP,LL,,RED,EU16954,IL,701 N. Sacramento,(773) 265-7605,7109720,Sunday
2024-12-11,JEEP,LL,TK,WHI,EV20070,IL,701 N. Sacramento,(773) 265-7605,7108170,Wednesday
2024-12-22,DODG,LL,,WHI,DK23978,IL,10300 S. Doty,(773) 568-8495,2979713,Sunday
2025-01-16,HOND,VN,,GRY,EA21297,IL,400 E. Lower Wacker,(312) 744-7550,0334269,Thursday
2024-12-20,LINC,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109270,Friday
2024-12-07,CHEV,4D,,RED,Q630787,IL,701 N. Sacramento,(773) 265-7605,7107696,Saturday
2024-12-11,SATR,LL,,GLD,011445A8,IL,701 N. Sacramento,(773) 265-7605,7108160,Wednesday
2024-12-12,HOND,LL,,GRY,EG45660,IL,701 N. Sacramento,(773) 265-7605,7108303,Thursday
2024-12-11,INFI,4D,,SIL,SAB731,IL,10300 S. Doty,(773) 568-8495,2978962,Wednesday
2025-01-04,HOND,4T,,TAN,AM73000,IL,701 N. Sacramento,(773) 265-7605,7110650,Saturday
2024-12-22,HYUN,4D,,ONG,EZ73252,IL,701 N. Sacramento,(773) 265-7605,7109724,Sunday
2025-01-03,CADI,4D,,GRY,1E323FF,IL,701 N. Sacramento,(773) 265-7605,7110655,Friday
2024-12-22,CHEV,4D,,GRY,DBF401,IN,701 N. Sacramento,(773) 265-7605,7109718,Sunday
2024-12-22,JEEP,LL,,WHI,ED82486,IL,701 N. Sacramento,(773) 265-7605,7109719,Sunday
2024-12-22,CHEV,4D,,GRN,EW73287,IL,701 N. Sacramento,(773) 265-7605,7109721,Sunday
2024-12-29,MAZD,LL,,RED,DE28508,IL,10300 S. Doty,(773) 568-8495,2980160,Sunday
2025-01-04,TOYT,4T,,BLK,CF74159,IL,701 N. Sacramento,(773) 265-7605,7110647,Saturday
2025-01-04,HYUN,4T,,WHI,066PAZ,OR,701 N. Sacramento,(773) 265-7605,7110664,Saturday
2024-12-12,LNDR,LL,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7108359,Thursday
2024-12-25,MAZD,LL,,WHI,4942BU,IL,400 E. Lower Wacker,(312) 744-7550,0332865,Wednesday
2025-01-10,NISS,4D,,BLU,NVL274,OK,400 E. Lower Wacker,(312) 744-7550,0333935,Friday
2025-01-10,JEEP,LL,,WHI,X8612F,WI,701 N. Sacramento,(773) 265-1846,1548705,Friday
2024-12-08,BUIC,LL,,BLK,8566P98,TX,10300 S. Doty,(773) 568-8495,2978826,Sunday
2025-01-10,CHEV,4D,,BLU,KBN3845,OH,701 N. Sacramento,(773) 265-7605,7111239,Friday
2024-12-20,HOND,4D,,DBL,EQ18425,IL,10300 S. Doty,(773) 568-8495,2979567,Friday
2025-01-03,JEEP,LL,TK,RED,ES33859,IL,10300 S. Doty,(773) 568-8495,2980514,Friday
2025-01-04,VOLK,4T,,WHI,DN42280,IL,701 N. Sacramento,(773) 265-7605,7110660,Saturday
2025-01-13,HOND,4D,,RED,,IL,701 N. Sacramento,(773) 265-7605,7111637,Monday
2024-12-07,HOND,4D,,SIL,EQ59957,IL,701 N. Sacramento,(773) 265-7605,7107627,Saturday
2025-01-13,TOYT,4T,,RED,FP257042,IL,10300 S. Doty,(773) 568-8495,2981106,Monday
2024-12-25,FORD,4D,,WHI,FB73275,IL,701 N. Sacramento,(773) 265-7605,7109868,Wednesday
2025-01-13,PONT,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2981097,Monday
2024-12-08,CHEV,LL,,BLK,CB16921,IL,10300 S. Doty,(773) 568-8495,2978767,Sunday
2024-12-22,FORD,LL,,BLU,DY56614,IL,701 N. Sacramento,(773) 265-7605,7109715,Sunday
2024-12-18,GMC,LL,,GRN,DR58127,IL,10300 S. Doty,(773) 568-8495,2979452,Wednesday
2024-12-22,FORD,2D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7109627,Sunday
2025-01-13,TOYT,LL,TK,BLK,8606273,IL,10300 S. Doty,(773) 568-8495,2981095,Monday
2024-12-12,HOND,LL,,TAN,DF57626,IL,701 N. Sacramento,(773) 265-7605,7108357,Thursday
2024-12-18,FORD,PK,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7109149,Wednesday
2025-01-04,TOYT,LL,,WHI,54DWVW,FL,701 N. Sacramento,(773) 265-7605,7110654,Saturday
2025-01-04,MAZD,LL,,SIL,BH50395,IL,701 N. Sacramento,(773) 265-7605,7110661,Saturday
2025-01-04,NISS,4T,,WHI,BR39659,IL,701 N. Sacramento,(773) 265-7605,7110665,Saturday
2024-12-25,TOYT,4D,,GRY,EY19950,IL,10300 S. Doty,(773) 568-8495,2979918,Wednesday
2024-12-22,MITS,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109629,Sunday
2024-12-22,FORD,VN,,BLK,3990878B,IL,701 N. Sacramento,(773) 265-7605,7109633,Sunday
2025-01-16,DODG,LL,,BLK,EN20924,IL,701 N. Sacramento,(773) 265-1846,1548733,Thursday
2025-01-10,CHEV,4D,,WHI,EH61095,IL,400 E. Lower Wacker,(312) 744-7550,0333942,Friday
2024-12-22,DODG,PK,,BLK,49827GB,IL,701 N. Sacramento,(773) 265-7605,7109731,Sunday
2024-12-22,SAA,LL,,BLK,EZ17021,IL,701 N. Sacramento,(773) 265-7605,7109625,Sunday
2024-12-22,BMW,2D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109727,Sunday
2024-12-12,VOLK,4D,,BLK,EM61070,IL,701 N. Sacramento,(773) 265-7605,7108358,Thursday
2025-01-15,CHEV,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7111759,Wednesday
2025-01-19,LINC,LL,,TAN,EW54674,IL,10300 S. Doty,(773) 568-8495,2981451,Sunday
2024-12-22,HYUN,4D,,BLK,DQ43031,IL,701 N. Sacramento,(773) 265-7605,7109730,Sunday
2025-01-16,DODG,PK,,BLK,3775484B,IL,701 N. Sacramento,(773) 265-7605,7111886,Thursday
2025-01-04,HOND,LL,,GRY,AD26547,IL,701 N. Sacramento,(773) 265-7605,7110672,Saturday
2024-12-22,HOND,4D,,BLK,EW86807,IL,701 N. Sacramento,(773) 265-7605,7109630,Sunday
2025-01-21,CHEV,LL,,BLK,DW69192,IL,701 N. Sacramento,(773) 265-7605,7112422,Tuesday
2025-01-04,SUBA,LL,,WHI,DU39776,IL,701 N. Sacramento,(773) 265-7605,7110667,Saturday
2025-01-04,FORD,LL,,BLK,CT81052,IL,701 N. Sacramento,(773) 265-7605,7110671,Saturday
2024-12-22,TOYT,VN,,GRY,1524TX,IL,701 N. Sacramento,(773) 265-7605,7109632,Sunday
2025-01-06,FORD,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2980672,Monday
2024-12-12,SUZI,LL,,BLU,N563418,IL,701 N. Sacramento,(773) 265-1846,1548610,Thursday
2025-01-04,JEEP,LL,,BLK,AL13323,IL,701 N. Sacramento,(773) 265-7605,7110668,Saturday
2025-01-06,NISS,4D,,BLU,,,10300 S. Doty,(773) 568-8495,2980673,Monday
2025-01-09,HOND,4D,,GLD,,,10300 S. Doty,(773) 568-8495,2980801,Thursday
2024-12-22,CHEV,4D,,SIL,DLB7477,MI,701 N. Sacramento,(773) 265-7605,7109728,Sunday
2024-12-25,HYUN,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109869,Wednesday
2025-01-06,FORD,LL,,RED,,,10300 S. Doty,(773) 568-8495,2980671,Monday
2025-01-01,FORD,LL,,BLK,ES36395,IL,10300 S. Doty,(773) 568-8495,2980380,Wednesday
2025-01-03,CHRY,2D,,BLK,,,10300 S. Doty,(773) 568-8495,2980491,Friday
2025-01-09,JEEP,LL,,BLK,,,10300 S. Doty,(773) 568-8495,2980802,Thursday
2025-01-18,CHEV,4D,,GRY,,,10300 S. Doty,(773) 568-8495,2981395,Saturday
2025-01-03,HOND,LL,,BLK,DD75196,IL,10300 S. Doty,(773) 568-8495,2980482,Friday
2025-01-04,FORD,PK,,BLK,3202118B,IL,701 N. Sacramento,(773) 265-7605,7110675,Saturday
2024-12-25,INFI,4D,,BLK,WH2804D,WI,701 N. Sacramento,(773) 265-7605,7109867,Wednesday
2025-01-06,ISU,CB,,WHI,EX9765,WI,10300 S. Doty,(773) 568-8495,2980669,Monday
2025-01-04,TOYT,LL,,GRY,CK15909,IL,701 N. Sacramento,(773) 265-7605,7110673,Saturday
2025-01-04,CHEV,SW,,BLK,FB74225,IL,701 N. Sacramento,(773) 265-7605,7110669,Saturday
2025-01-18,CHEV,4T,,BLK,CJ14839,IL,701 N. Sacramento,(773) 265-7605,7112129,Saturday
2025-01-04,KIA,4T,,RED,CZT122,IL,701 N. Sacramento,(773) 265-7605,7110674,Saturday
2024-12-15,GMC,LL,,DBL,710D970,IN,10300 S. Doty,(773) 568-8495,2979290,Sunday
2025-01-03,BUIC,4T,,SIL,EU12402,IL,701 N. Sacramento,(773) 265-7605,7110589,Friday
2025-01-14,FORD,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7111771,Tuesday
